INFO 2025-04-04 12:52:09,734 Watching for file changes with StatReloader
INFO 2025-04-04 13:18:12,324 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
WARNING 2025-04-04 13:18:12,333 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:18:12,335 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
INFO 2025-04-04 13:18:12,479 "GET /static/core/images/WB.svg HTTP/1.1" 200 1516
INFO 2025-04-04 13:18:12,987 "GET /simba/progress2/32aef3d0-6d7f-4f3c-b661-60459bdcce2b/progress_trips.html/ HTTP/1.1" 286 777
INFO 2025-04-04 13:19:20,112 1 Depot Stations found
INFO 2025-04-04 13:19:20,150 "POST /simba/trips/ HTTP/1.1" 200 0
INFO 2025-04-04 13:19:20,175 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
INFO 2025-04-04 13:19:20,309 VehicleType object (68) has no linked vehicle type. Creating a linked vehicle type
INFO 2025-04-04 13:19:20,340 "GET /simba/vehicles/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 200 51410
INFO 2025-04-04 13:19:20,354 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
INFO 2025-04-04 13:19:20,402 "GET /static/core/fonts/Inter_18pt-Bold.ttf HTTP/1.1" 200 344152
INFO 2025-04-04 13:19:27,327 "GET /simba/trips/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 302 0
INFO 2025-04-04 13:19:27,426 "GET /simba/vehicles/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 200 51410
INFO 2025-04-04 13:19:27,473 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:19:27,476 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:19:27,479 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:19:27,485 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:19:27,498 "GET /static/htmx.min.js HTTP/1.1" 200 48102
INFO 2025-04-04 13:19:27,499 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:19:27,490 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:19:27,505 "GET /static/css/dist/styles.css?v=1743772767 HTTP/1.1" 200 61584
INFO 2025-04-04 13:19:27,507 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:19:27,508 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:19:27,521 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
WARNING 2025-04-04 13:19:27,531 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
WARNING 2025-04-04 13:19:27,531 "GET /static/popper.js.map HTTP/1.1" 404 1853
WARNING 2025-04-04 13:19:27,713 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:19:27,722 "GET /static/core/fonts/Inter_18pt-Bold.ttf HTTP/1.1" 200 344152
INFO 2025-04-04 13:19:27,723 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
INFO 2025-04-04 13:19:27,724 "GET /static/core/fonts/Inter_18pt-SemiBold.ttf HTTP/1.1" 200 343828
INFO 2025-04-04 13:19:27,724 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
INFO 2025-04-04 13:19:29,595 "GET /simba/trips/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 302 0
INFO 2025-04-04 13:19:29,684 "GET /simba/vehicles/cf9e6189-a011-4368-a489-16c1111fa272 HTTP/1.1" 200 51410
INFO 2025-04-04 13:19:29,731 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:19:29,738 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:19:29,740 "GET /static/htmx.min.js HTTP/1.1" 200 48102
